시도코드,시도명,시군구코드,시군구명,읍면동코드,읍면동명,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
47,경상북도,47730,경상북도 의성군,3732045,신평면,2013,-88.64916861,3,-29.54545455,3,70.70063694
47,경상북도,47730,경상북도 의성군,3732046,안평면,2013,-71.5981857,3,-27.36842105,2,71.41236529
47,경상북도,47730,경상북도 의성군,3732047,안사면,2013,-51.30718954,5,-27.77777778,1,72.65077139
47,경상북도,47750,경상북도 청송군,3733011,청송읍,2013,-50.95906664,3,-5.299145299,1,55.09736541
47,경상북도,47750,경상북도 청송군,3733031,부동면,2013,-69.55988076,2,1.19047619,1,39.63963964
47,경상북도,47750,경상북도 청송군,3733032,부남면,2013,-70.15149447,2,-15.43209877,1,58.07644883
47,경상북도,47750,경상북도 청송군,3733033,현동면,2013,-62.62155592,2,-9.696969697,4,37.92775665
47,경상북도,47750,경상북도 청송군,3733034,현서면,2013,-67.94067313,3,-16.08040201,3,53.17551963
47,경상북도,47750,경상북도 청송군,3733035,안덕면,2013,-66.90319989,2,-11.22994652,1,54.02739726
47,경상북도,47750,경상북도 청송군,3733036,파천면,2013,-74.72197175,5,-30.26315789,1,64.64811784
47,경상북도,47750,경상북도 청송군,3733037,진보면,2013,-55.56426844,5,-18.26309068,2,54.56318253
47,경상북도,47760,경상북도 영양군,3734011,영양읍,2013,-53.14649354,3,-3.259452412,1,58.67768595
47,경상북도,47760,경상북도 영양군,3734031,입암면,2013,-73.46712632,5,-10.44776119,2,55.54817276
47,경상북도,47760,경상북도 영양군,3734032,청기면,2013,-78.58588414,2,-27.69230769,1,62.4208304
47,경상북도,47760,경상북도 영양군,3734033,일월면,2013,-74.93700904,2,-19.11764706,2,40.60721063
47,경상북도,47760,경상북도 영양군,3734034,수비면,2013,-73.20551418,3,-31.48148148,3,60.93979442
47,경상북도,47760,경상북도 영양군,3734035,석보면,2013,-76.09394314,4,-13.04347826,2,58.01767677
47,경상북도,47770,경상북도 영덕군,3735011,영덕읍,2013,-41.99064179,3,3.593339176,1,57.12246646
47,경상북도,47770,경상북도 영덕군,3735031,강구면,2013,-54.21361582,5,1.264044944,1,50.3250478
47,경상북도,47770,경상북도 영덕군,3735032,남정면,2013,-63.92883617,3,-26.02230483,3,48.46975089
47,경상북도,47770,경상북도 영덕군,3735033,달산면,2013,-76.01713062,2,0,1,63.61904762
47,경상북도,47770,경상북도 영덕군,3735034,지품면,2013,-73.51934052,5,-28.72340426,2,58.73115578
47,경상북도,47770,경상북도 영덕군,3735035,축산면,2013,-72.45483528,4,-14.28571429,3,59.16760405
47,경상북도,47770,경상북도 영덕군,3735036,영해면,2013,-51.9643252,5,-2.204928664,2,52.24454895
47,경상북도,47770,경상북도 영덕군,3735037,병곡면,2013,-70.60568856,5,-7.006369427,1,56.59914058
47,경상북도,47770,경상북도 영덕군,3735038,창수면,2013,-74.81133419,3,-13.7254902,2,69.17118513
47,경상북도,47820,경상북도 청도군,3736011,화양읍,2013,-31.55189137,1,5.463182898,2,51.43395436
47,경상북도,47820,경상북도 청도군,3736012,청도읍,2013,-51.34928488,4,2.587646077,1,64.86865596
47,경상북도,47820,경상북도 청도군,3736031,각남면,2013,-66.8119986,2,-5.333333333,2,62.9778672
47,경상북도,47820,경상북도 청도군,3736032,풍각면,2013,-62.40241491,3,-9.756097561,2,54.79638009
47,경상북도,47820,경상북도 청도군,3736033,각북면,2013,-55.72928821,2,0,3,46.37586094
47,경상북도,47820,경상북도 청도군,3736034,이서면,2013,-50.55996267,1,-8.219178082,1,53.33919156
47,경상북도,47820,경상북도 청도군,3736035,운문면,2013,-69.48267679,4,10.66666667,0,57.5794621
47,경상북도,47820,경상북도 청도군,3736036,금천면,2013,-62.89661632,2,-10.625,0,57.75449784
11,서울특별시,11230,서울특별시 동대문구,1106084,전농2동,2018,10.66809767,5,-3.778677463,2,76.69082126
27,대구광역시,27200,대구광역시 남구,2204054,봉덕2동,2013,-46.27487897,1,-8.535178777,2,76.98846387
27,대구광역시,27200,대구광역시 남구,2204055,봉덕3동,2013,-15.88840074,3,-12.36038719,3,70.16806723
27,대구광역시,27200,대구광역시 남구,2204056,대명1동,2013,-62.14104997,2,-7.61589404,3,76.31926121
27,대구광역시,27200,대구광역시 남구,2204057,대명2동,2013,-10.9204647,5,-3.897180763,2,68.16196904
27,대구광역시,27200,대구광역시 남구,2204058,대명3동,2013,-20.24731127,5,-20.61704212,4,78.9959963
27,대구광역시,27200,대구광역시 남구,2204059,대명4동,2013,-51.99178053,5,-13.61771944,3,82.90034897
27,대구광역시,27200,대구광역시 남구,2204060,대명5동,2013,-43.48252005,5,-9.140369967,1,72.05428748
45,전라북도,45750,전라북도 임실군,3535035,오수면,2013,-66.77299309,5,-13.86363636,2,42.83206554
45,전라북도,45750,전라북도 임실군,3535036,신덕면,2013,-77.48596632,4,-4.166666667,1,60.43405676
45,전라북도,45750,전라북도 임실군,3535037,삼계면,2013,-79.68059318,2,11.53846154,1,46.51702786
45,전라북도,45750,전라북도 임실군,3535038,관촌면,2013,-68.67807154,5,-13.49480969,2,37.58978452
45,전라북도,45750,전라북도 임실군,3535039,강진면,2013,-75.20197857,2,-13.90728477,4,45.92220828
45,전라북도,45750,전라북도 임실군,3535040,덕치면,2013,-78.07509711,5,2.083333333,2,45.75087311
45,전라북도,45750,전라북도 임실군,3535041,지사면,2013,-75.14844953,2,-8.333333333,2,39.02953586
45,전라북도,45770,전라북도 순창군,3536011,순창읍,2013,-35.61177991,1,-2.069536424,1,60.86286595
45,전라북도,45770,전라북도 순창군,3536031,인계면,2013,-73.19008904,3,6.666666667,0,57.1820677
45,전라북도,45770,전라북도 순창군,3536032,동계면,2013,-75.08174387,3,-18.88111888,1,53.58851675
45,전라북도,45770,전라북도 순창군,3536033,적성면,2013,-74.46759789,3,-4.347826087,1,65.96136155
45,전라북도,45770,전라북도 순창군,3536034,유등면,2013,-76.73587854,3,-5.555555556,1,69.77687627
45,전라북도,45770,전라북도 순창군,3536035,풍산면,2013,-73.54827218,1,8.620689655,1,59.84455959
45,전라북도,45770,전라북도 순창군,3536036,금과면,2013,-73.71950084,3,-10.63829787,1,64.12625096
45,전라북도,45770,전라북도 순창군,3536037,팔덕면,2013,-70.64139299,1,-5.194805195,2,62.0829943
45,전라북도,45770,전라북도 순창군,3536038,복흥면,2013,-70.86728754,1,-17.10526316,1,43.89078498
45,전라북도,45770,전라북도 순창군,3536039,쌍치면,2013,-73.72043011,3,-3.174603175,1,51.05485232
45,전라북도,45770,전라북도 순창군,3536040,구림면,2013,-73.64057547,3,-10.09174312,2,62.27602906
45,전라북도,45790,전라북도 고창군,3537011,고창읍,2013,-10.84143839,1,10.05762179,0,34.21453991
45,전라북도,45790,전라북도 고창군,3537031,고수면,2013,-71.66396205,5,2.803738318,2,14.87964989
45,전라북도,45790,전라북도 고창군,3537032,아산면,2013,-76.03165064,2,-3.111111111,2,16.97777778
45,전라북도,45790,전라북도 고창군,3537033,무장면,2013,-71.19821826,3,-18.03278689,1,15.67567568
45,전라북도,45790,전라북도 고창군,3537034,공음면,2013,-76.82961288,3,-12.40310078,1,13.06306306
45,전라북도,45790,전라북도 고창군,3537035,상하면,2013,-74.3653721,2,-9.223300971,3,9.711286089
45,전라북도,45790,전라북도 고창군,3537036,해리면,2013,-73.9753917,5,-13.38028169,2,16.80751174
45,전라북도,45790,전라북도 고창군,3537037,성송면,2013,-79.10285783,5,-20.54794521,4,11.90108192
45,전라북도,45790,전라북도 고창군,3537038,대산면,2013,-68.90440856,3,-22.4025974,2,24.50842697
45,전라북도,45790,전라북도 고창군,3537039,심원면,2013,-71.19818571,3,7.333333333,0,10.07281553
45,전라북도,45790,전라북도 고창군,3537040,흥덕면,2013,-65.52908349,3,-5.511811024,0,16.18421053
45,전라북도,45790,전라북도 고창군,3537041,성내면,2013,-74.04580153,1,-13.7254902,2,8.972845336
45,전라북도,45790,전라북도 고창군,3537042,신림면,2013,-76.72385169,2,-2.830188679,1,11.25748503
48,경상남도,48270,경상남도 밀양시,3808052,내이동,2013,-24.43132738,1,-2.159031069,2,54.34521426
48,경상남도,48270,경상남도 밀양시,3808053,교동,2013,-10.3538175,2,1.140684411,1,60.24229075
48,경상남도,48270,경상남도 밀양시,3808054,삼문동,2013,21.14728682,1,6.434023991,0,72.14953271
48,경상남도,48270,경상남도 밀양시,3808055,가곡동,2013,-32.01495638,3,-23.45924453,5,75.75976845
