번호,용도,단지명,소재지,법정동,동수,층수,세대수,데이터기준일
100,다세대주택,비원주택 B동,충청북도 옥천군 옥천읍 가화3길 3 ,옥천읍,1,4,8,2022-09-16
101,다세대주택,"다익빌라 가, 나동",충청북도 옥천군 옥천읍 삼양로3길 9-18 ,옥천읍,2,4,16,2022-09-16
102,다세대주택,다익빌라 다동,충청북도 옥천군 옥천읍 삼양로3길 9-18 ,옥천읍,1,4,8,2022-09-16
103,다세대주택,"대성빌라 가, 나동",충청북도 옥천군 옥천읍 문장로 98-13 ,옥천읍,2,4,16,2022-09-16
104,아파트,성진아파트 1동,충청북도 옥천군 옥천읍 장야1길 11 ,옥천읍,1,12,64,2022-09-16
105,다세대주택,금구다세대주택,충청북도 옥천군 옥천읍 가화1길 3 ,옥천읍,1,4,4,2022-09-16
106,다세대주택,다익빌라 11동,충청북도 옥천군 옥천읍 삼양로3길 9-21 ,옥천읍,1,4,8,2022-09-16
107,다세대주택,보성빌라 다동,충청북도 옥천군 옥천읍 양수로 32 ,옥천읍,1,4,8,2022-09-16
108,다세대주택,보성빌라 가동,충청북도 옥천군 옥천읍 양수로 32 ,옥천읍,1,4,11,2022-09-16
109,다세대주택,보성빌라 나동,충청북도 옥천군 옥천읍 양수로 32 ,옥천읍,1,4,8,2022-09-16
110,아파트,옥천가화현대아파트,충청북도 옥천군 옥천읍 가화3길 18 ,옥천읍,4,15,459,2022-09-16
111,연립주택,대성연립,충청북도 옥천군 옥천읍 신기4길 16 ,옥천읍,1,4,16,2022-09-16
112,연립주택,강청빌라 A동,충청북도 옥천군 이원면 강청길 30-1 ,이원면,1,4,19,2022-09-16
113,다세대주택,다익빌라 12동,충청북도 옥천군 옥천읍 삼양로3길 9-21 ,옥천읍,1,4,8,2022-09-16
114,다세대주택,양지빌라,충청북도 옥천군 옥천읍 삼양로 61-4 ,옥천읍,1,4,8,2022-09-16
115,다세대주택,"유니온주택 가, 나, 다동",충청북도 옥천군 청산면 교평길 47 ,청산면,3,4,20,2022-09-16
116,아파트,대성진달래아파트,충청북도 옥천군 옥천읍 관성로1길 18 ,옥천읍,1,15,154,2022-09-16
117,아파트,주은옥향아파트,충청북도 옥천군 옥천읍 성왕로 1274 ,옥천읍,3,15,323,2022-09-16
118,아파트,옥천문정주공2단지아파트,충청북도 옥천군 옥천읍 문장로2길 9 ,옥천읍,5,15,475,2022-09-16
119,아파트,옥천문정주공3단지아파트,충청북도 옥천군 옥천읍 문장로2길 10 ,옥천읍,5,15,445,2022-09-16
120,아파트,다산금빛아파트,충청북도 옥천군 옥천읍 가화3길 8 ,옥천읍,2,15,270,2022-09-16
121,아파트,옥천장야주공1단지아파트,충청북도 옥천군 옥천읍 쟝야3길 9 ,옥천읍,6,15,446,2022-09-16
122,아파트,삼양운암아파트,충청북도 옥천군 옥천읍 삼양로5길 5-8 ,옥천읍,1,9,30,2022-09-16
123,다세대주택,한내빌라 B동,충청북도 옥천군 이원면 이원역길 34 ,이원면,1,5,8,2022-09-16
124,다세대주택,한내빌라 A동,충청북도 옥천군 이원면 이원역길 34 ,이원면,1,5,8,2022-09-16
125,아파트,장야2주공아파트,충청북도 옥천군 옥천읍 장야3길 10 ,옥천읍,6,15,610,2022-09-16
126,아파트,옥천향수마을아파트,충청북도 옥천군 옥천읍 성왕로 1262 ,옥천읍,2,15,165,2022-09-16
127,아파트,하늘빛아파트,충청북도 옥천군 옥천읍 동부로 16 ,옥천읍,6,15,491,2022-09-16
128,연립주택,"옥천그린빌 101, 102, 103동",충청북도 옥천군 옥천읍 동부로 170-38 ,옥천읍,3,4,76,2022-09-16
129,다세대주택,아트빌,충청북도 옥천군 옥천읍 신기5길 19-6 ,옥천읍,2,5,16,2022-09-16
130,다세대주택,비원빌리지,충청북도 옥천군 옥천읍 가화3길 7 ,옥천읍,1,5,8,2022-09-16
131,다세대주택,"세인트빌 A, B동",충청북도 옥천군 옥천읍 삼양로 61-10 ,옥천읍,2,4,16,2022-09-16
132,다세대주택,더휴인 1동,충청북도 옥천군 옥천읍 양수로 50 ,옥천읍,1,5,8,2022-09-16
133,다세대주택,스마일빌 1동,충청북도 옥천군 옥천읍 문장로3길 16 ,옥천읍,1,5,8,2022-09-16
134,다세대주택,문정리햇살마을 A동,충청북도 옥천군 옥천읍 문장로3길 14 ,옥천읍,1,5,8,2022-09-16
